University,,City Size,Type of Institution,Year of Institution's History,City Economy - GDP,Country Development Level
AGH University of Science and Technology,"""AGH University of Krakow, (abbreviated as AGH University; formerly: AGH University of Science and Technology, in short AGH UST) is a public university in Kraków, Poland.[5] Founded in 1913,[6] its inauguration took place in 1919.[7] The university focuses on innovative technologies, its research profile also includes engineering disciplines, exact sciences, Earth sciences, and social sciences.""",Large (?),Public,Long,Middle,Developed
Aalborg University,"""Aalborg University (AAU) is an international public university with campuses in Aalborg, Esbjerg, and Copenhagen, Denmark. Founded in 1974, the university awards bachelor's degrees, master's degrees, and PhD degrees in a wide variety of subjects within humanities, social sciences, information technology, design, engineering, exact sciences, and medicine.""",Middle (?),Public,Short,High,Developed
Aalto University,"""Aalto University (Finnish: Aalto-yliopisto; Swedish: Aalto-universitetet) is a public research university located in Espoo, Finland. It was established in 2010 as a merger of three major Finnish universities: the Helsinki University of Technology, the Helsinki School of Economics and the University of Art and Design Helsinki. The close collaboration between the scientific, business and arts communities is intended to foster multi-disciplinary education and research.""",Large (?),Public,Short,High,Developed
Abai Kazakh National Pedagogical University,"""Abai Kazakh National Pedagogical University is one of the leading institutes in Central Asia. It is situated in the heart of Almaty City, Kazakhstan. In 2003 Abai University had a record enrollment of more than 23,000 students, mostly from Kazakhstan and other Central Asian countries.""",Large (?),Public,Long,Middle,Developing
Aberystwyth University,"""Aberystwyth University (Welsh: Prifysgol Aberystwyth) is a public research university in Aberystwyth, Wales. Aberystwyth was a founding member institution of the former federal University of Wales. The university has over 8,000 students studying across three academic faculties and 17 departments.""",Small(?),Public,Long,Middle,Developed
Åbo Akademi University,"""Åbo Akademi University (Swedish: Åbo Akademi [ˈǒːbʊ akadɛˈmiː], Finland Swedish: [ˈoːbu ɑkɑdeˈmiː]) is the only exclusively Swedish language multi-faculty university in Finland (or anywhere outside Sweden).[1] It is located mainly in Turku (Åbo is the Swedish name of the city) but has also activities in Vaasa. Åbo Akademi should not be confused with the Royal Academy of Åbo, which was founded in 1640, but moved to Helsinki after the Turku fire of 1827 and is today known as the University of Helsinki.""",Large (?),Public,Long,High,Developed
Abu Dhabi University,"""Abu Dhabi University (ADU) (Arabic: جامعة أبوظبي) is a private research university with its main campus in Khalifa City, Abu Dhabi, United Arab Emirates, and satellite campuses in Al Ain, Dubai and Madinat Zayed.[4] Founded in 2003 by Ali Saeed bin Harmal al-Dhaheri,[5] it is the largest private institution in the country that offers courses in various subjects up to post-graduation.[6][7]""",Large (?),Private,Short,High,Developed
Adam Mickiewicz University in Poznań,"""The Adam Mickiewicz University[4] (Polish: Uniwersytet im. Adama Mickiewicza w Poznaniu; Latin: Universitas Studiorum Mickiewicziana Posnaniensis) is a research university in Poznań, Poland.""",Large (?),Public,Long,Middle,Developed
Addis Ababa University,"""Addis Ababa University (AAU) (Amharic: አዲስ አበባ ዩኒቨርሲቲ) is a  national university located in Addis Ababa, Ethiopia. It is the oldest university in Ethiopia. AAU has thirteen campuses. Twelve of these are situated in Addis Ababa, and one is located in Bishoftu, about 45 kilometres (28 mi) away. AAU has several associated research institutions including the Institute of Ethiopian Studies. The Ministry of Education admits qualified students to AAU based on their score on the Ethiopian University Entrance Examination (EUEE).""",Large (?),National,Long,Middle,Developing
Adolfo Ibáñez University,"""The Adolfo Ibáñez University (Spanish: Universidad Adolfo Ibáñez) (UAI) is a private research university in Santiago, Chile associated with the Adolfo Ibáñez Foundation. In 1988, in accordance with new educational legislation, a  university was founded based on the  Valparaiso Business School (Escuela de Negocios de Valparaiso), an older institution for the professional teaching in business administration founded in 1953 by Adolfo Ibáñez Boggiano. The newer university would take its name some decades later.""",Large (?),Private,Short,High,Developed
Ahlia University,"""Ahlia University (AU) is a private, not-for-profit university in Manama, Bahrain and owned by a private holding company, The Arab Academy for Research and Studies (AARS).[1] The holding company is collectively owned by a group of companies and individuals from the Gulf Cooperation Council.""",Large (?),Private,Short,High,Developed
Ain Shams University,"""Ain Shams University (Arabic: جامعة عين شمس) is a public university located in Cairo, Egypt. Founded in 1950,[1] the university provides education at the undergraduate, graduate and post-graduate levels.""",Large (?),Public,Long,High,Developing
Airlangga University,"""Ain Shams University (Arabic: جامعة عين شمس) is a public university located in Cairo, Egypt. Founded in 1950,[1] the university provides education at the undergraduate, graduate and post-graduate levels.""",Large (?),Public,Long,Middle,Developing
Ajman University,"""Ajman University (Arabic: جامعة عجمان) was established on the 17th of June, 1988 as the first private university in the GCC. Ajman University (AU) was also the first university in the UAE to admit expatriate students under the institutional name \""Ajman University College of Science and Technology,\"" which was subsequently renamed \""Ajman University of Science and Technology\"". In 2018, it was again renamed to \""Ajman University\"".""",Large (?),Private,Long,High,Developed
